Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 2 april 2013,Champions League,Paris Saint-Germayn,Paris Saint-Germayn,FC Barcelona,38,0,1,,Left foot,Draw
 24 january 2013,,Malaga,Malaga,FC Barcelona,80,2,4,,Head,Won
 12 december 2012,,Cordoba,Cordoba,FC Barcelona,74,0,2,,Left foot,Won
 12 december 2012,,Cordoba,Cordoba,FC Barcelona,11,0,1,,Left foot,Won
 20 november 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,39,0,3,,Left foot,Won
 20 november 2012,Champions League,Spartak Moscow,Spartak Moscow,FC Barcelona,27,0,2,Rebound,Right foot,Won
 7 november 2012,Champions League,Celtic,Celtic,FC Barcelona,90+1,2,1,Rebound,Left foot,Lost
 29 august 2012,,Real Madrid,Real Madrid,FC Barcelona,45,2,1,Free kick,Left foot,Lost
 25 may 2012,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,20,0,2,,Right foot,Won
 14 february 2012,Champions League,Bayer Leverkusen,Bayer Leverkusen,FC Barcelona,88,1,3,Field goal,Left foot,Won
 18 december 2011,,Santos,Santos,FC Barcelona,82,0,4,,Left foot,Won
 18 december 2011,,Santos,Santos,FC Barcelona,17,0,1,,Left foot,Won
 23 november 2011,Champions League,AC Milan,AC Milan,FC Barcelona,31,1,2,Penalty,Left foot,Won
 1 november 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,90+2,0,4,,Left foot,Won
 1 november 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,45,0,2,,Left foot,Won
 1 november 2011,Champions League,Viktoria Plzen,Viktoria Plzen,FC Barcelona,24,0,1,Penalty,Left foot,Won
 28 september 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,55,0,4,,Left foot,Won
 28 september 2011,Champions League,BATE Borisov,BATE Borisov,FC Barcelona,38,0,3,,Head,Won
 14 august 2011,,Real Madrid,Real Madrid,FC Barcelona,45,1,2,,Left foot,Draw
 27 april 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,87,0,2,Solo run,Right foot,Won
 27 april 2011,Champions League,Real Madrid,Real Madrid,FC Barcelona,76,0,1,Field goal,Left foot,Won
 12 april 2011,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,43,0,1,,Left foot,Won
 19 january 2011,,Real Betis,Real Betis,FC Barcelona,38,2,1,,Left foot,Lost
 24 november 2010,Champions League,Panathinaikos,Panathinaikos,FC Barcelona,62,0,2,,Left foot,Won
 2 november 2010,Champions League,FC Copenhagen,FC Copenhagen,FC Barcelona,31,0,1,,Right foot,Draw
 19 december 2009,,Estudiantes La Plata,Estudiantes La Plata,FC Barcelona,110,1,2,,Chest,Won
 16 december 2009,,Atlante,Atlante,FC Barcelona,55,1,2,,Left foot,Won
 9 december 2009,Champions League,Dynamo Kyiv,Dynamo Kyiv,FC Barcelona,86,1,2,Free kick,Left foot,Won
 13 may 2009,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,55,1,2,,Left foot,Won
 4 march 2009,,Real Mallorca,Real Mallorca,FC Barcelona,81,1,1,,Left foot,Draw
 6 january 2009,,Atletico Madrid,Atletico Madrid,FC Barcelona,80,1,3,,Right foot,Won
 6 january 2009,,Atletico Madrid,Atletico Madrid,FC Barcelona,57,0,2,Penalty,Left foot,Won
 6 january 2009,,Atletico Madrid,Atletico Madrid,FC Barcelona,13,0,1,,Left foot,Won
 26 november 2008,Champions League,Sporting Lisbon,Sporting Lisbon,FC Barcelona,49,0,3,,Left foot,Won
 22 october 2008,Champions League,FC Basel,FC Basel,FC Barcelona,4,0,1,,Left foot,Won
 1 october 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,90+4,1,2,,Left foot,Won
 1 october 2008,Champions League,Shakhtar Donetsk,Shakhtar Donetsk,FC Barcelona,87,1,1,Rebound,Right foot,Won
 20 february 2008,Champions League,Celtic,Celtic,FC Barcelona,79,2,3,,Left foot,Won
 20 february 2008,Champions League,Celtic,Celtic,FC Barcelona,18,1,1,,Left foot,Won
 27 november 2007,Champions League,Olympique Lyon,Olympique Lyon,FC Barcelona,58,1,2,Penalty,Left foot,Draw
 2 october 2007,Champions League,VfB Stuttgart,VfB Stuttgart,FC Barcelona,67,0,2,,Right foot,Won
